Column_Name,Data_Type,Missing_Values
Patient_ID,object,0
Name,object,0
Age,int64,0
Gender,object,0
Diagnosis,object,0
Age_Group,category,0
Admission_ID,object,0
Doctor_ID,object,0
Department_ID,object,0
Admission_Date,datetime64[ns],0
Discharge_Date,datetime64[ns],0
Status,object,0
Length_of_Stay,int64,0
Admission_Year,int32,0
Admission_Month,object,0
Admission_Quarter,int32,0
Weekend_Admission,bool,0
Stay_Category,category,0
Doctor_Name,object,0
Specialization,object,0
Experience,int64,0
Bill_ID,object,0
Total,int64,0
Insurance,int64,0
Paid,int64,0
Pending,int64,0
Surgery_ID,object,1495
Outcome,object,1495
Medication_ID,object,0
Medicine,object,0
Lab_ID,object,0
Test,object,0
Value,float64,0
Department_Name,object,0
