Hospital,Department,Staff_Count,Equipment_Count
City Care Hospital,Cardiology,15,6
City Care Hospital,Emergency,16,7
City Care Hospital,General Medicine,37,15
City Care Hospital,ICU,9,4
City Care Hospital,Orthopedics,16,7
City Care Hospital,Pediatrics,18,7
City Care Hospital,Surgery,27,11
Green Valley Hospital,Cardiology,15,6
Green Valley Hospital,Emergency,15,6
Green Valley Hospital,General Medicine,37,15
Green Valley Hospital,ICU,8,3
Green Valley Hospital,Orthopedics,17,7
Green Valley Hospital,Pediatrics,18,7
Green Valley Hospital,Surgery,27,11
HealthPlus Hospital,Cardiology,15,6
HealthPlus Hospital,Emergency,16,6
HealthPlus Hospital,General Medicine,35,14
HealthPlus Hospital,ICU,9,4
HealthPlus Hospital,Orthopedics,17,7
HealthPlus Hospital,Pediatrics,18,7
HealthPlus Hospital,Surgery,28,12
Metro Health Institute,Cardiology,15,6
Metro Health Institute,Emergency,15,6
Metro Health Institute,General Medicine,36,15
Metro Health Institute,ICU,8,3
Metro Health Institute,Orthopedics,16,7
Metro Health Institute,Pediatrics,19,8
Metro Health Institute,Surgery,27,11
Sunrise Medical Center,Cardiology,14,6
Sunrise Medical Center,Emergency,15,6
Sunrise Medical Center,General Medicine,36,15
Sunrise Medical Center,ICU,8,3
Sunrise Medical Center,Orthopedics,16,7
Sunrise Medical Center,Pediatrics,19,8
Sunrise Medical Center,Surgery,27,11
