Hospital,Department,Staff_Count,Equipment_Count
sunrise medical center,Orthopedics,16.0,7 units
 City Care Hospital ,General Medicine,37 staff,15
metro health institute,icu,8 staff, 3 
City Care Hospital,Emergency,16,7
HEALTHPLUS HOSPITAL ,Orthopedics,17,7
Green Valley Hospital,SURGERY,27 staff,11
Green Valley Hospital,General Medicine,37,15
HealthPlus Hospital,Emergency,16, 6 
metro health institute,ER,15,6
 City Care Hospital ,Pediatrics,18,7
sunrise medical center,Peds,19 staff,8 units
healthplus hospital,Surgery,28 staff,12 units
Metro Health Institute,Pediatrics,19,8 units
HEALTHPLUS HOSPITAL ,I.C.U,9.0,4
Green Valley Hospital,Orthopedics,17,7
CITY CARE HOSPITAL,Cardiology,15 staff,6 units
green valley hospital,pediatrics,18,7
Metro Health Institute,Cardiology,15,6
HealthPlus Hospital,General Medicine,35.0,14
City Care Hospital,orthopedics,16.0,7
City Care Hospital,SURGERY,27 staff,11
Sunrise Medical Center,general medicine,36,15 units
Sunrise Medical Center,Emergency,15 staff,6
green valley hospital,ICU,8.0,3
 Metro Health Institute,SURGERY,27,11
GREEN VALLEY HOSPITAL,Emergency,15.0,6 units
Sunrise Medical Center,icu,8,3
HealthPlus Hospital, Cardiology ,15,6
SUNRISE MEDICAL CENTER ,Surgery,27,11 units
Sunrise Medical Center, Cardiology ,14,6 units
green valley hospital, Cardiology ,15.0,6
Metro Health Institute,Gen Medicine,36,15
HealthPlus Hospital,pediatrics,18,7
 City Care Hospital ,icu,9,4 units
Metro Health Institute,Orthopedics,16.0, 7 
City Care Hospital,orthopedics,16.0,7
